facility_id,name,latitude,longitude,type
I001,Bhilai Steel Plant,21.1843795,81.3909595,industrial
I002,Unknown Industrial Location,21.2350382,81.4060906,industrial
I003,Unknown Industrial Location,21.2293135,81.4135769,industrial
I004,ACC Jamul,21.2378747,81.3836386,industrial
I005,Unknown Industrial Location,21.2270842,81.387143,industrial
I006,Unknown Industrial Location,21.233717,81.3948367,industrial
I007,Unknown Industrial Location,21.1551046,81.3489566,industrial
I008,Bhilai 500 MW Expansion Power Project,21.1882014,81.4243243,industrial
I009,Raipur Substation,21.2438204,81.4883606,industrial
I010,Bhilai Jaypee Cement Ltd.,21.184364,81.3620341,industrial
I011,Unknown Industrial Location,21.225638,81.3987777,industrial
I012,Unknown Industrial Location,21.2417332,81.5103361,industrial
I013,Kedia Castle Dellon Distilleries Ltd,21.2783753,81.5319855,industrial
I014,Unknown Industrial Location,21.1781651,81.3946295,industrial
I015,Unknown Industrial Location,21.2338244,81.4658942,industrial
I016,Unknown Industrial Location,21.152465,81.3363608,industrial
